Date,Pair,Open,High,Low,Close
5/12/1993 0:00,GBPUSD,1.537,1.5445,1.529,1.5338
5/13/1993 0:00,GBPUSD,1.5328,1.536,1.518,1.5225
5/14/1993 0:00,GBPUSD,1.5228,1.5415,1.52,1.5387
5/17/1993 0:00,GBPUSD,1.5365,1.546,1.5309,1.5355
5/18/1993 0:00,GBPUSD,1.535,1.538,1.5237,1.5365
5/19/1993 0:00,GBPUSD,1.535,1.5482,1.5328,1.5432
5/20/1993 0:00,GBPUSD,1.5425,1.5603,1.5383,1.5565
5/21/1993 0:00,GBPUSD,1.5548,1.5592,1.539,1.5425
5/24/1993 0:00,GBPUSD,1.54,1.545,1.5289,1.5365
5/25/1993 0:00,GBPUSD,1.5385,1.547,1.5345,1.542
5/26/1993 0:00,GBPUSD,1.542,1.5505,1.541,1.5472
5/27/1993 0:00,GBPUSD,1.5453,1.565,1.5425,1.562
5/28/1993 0:00,GBPUSD,1.561,1.568,1.5535,1.5607
5/31/1993 0:00,GBPUSD,1.5605,1.563,1.556,1.561
6/1/1993 0:00,GBPUSD,1.5613,1.567,1.546,1.5555
6/2/1993 0:00,GBPUSD,1.5544,1.556,1.5364,1.54
6/3/1993 0:00,GBPUSD,1.5403,1.5501,1.537,1.5501
6/4/1993 0:00,GBPUSD,1.549,1.5505,1.506,1.5085
6/7/1993 0:00,GBPUSD,1.5063,1.5268,1.506,1.5268
6/8/1993 0:00,GBPUSD,1.5253,1.5265,1.5135,1.5205
6/9/1993 0:00,GBPUSD,1.5195,1.527,1.5069,1.5152
6/10/1993 0:00,GBPUSD,1.5137,1.5325,1.507,1.5305
6/11/1993 0:00,GBPUSD,1.5293,1.5405,1.5185,1.5215
6/14/1993 0:00,GBPUSD,1.519,1.533,1.519,1.5285
6/15/1993 0:00,GBPUSD,1.5275,1.5355,1.514,1.5165
6/16/1993 0:00,GBPUSD,1.5155,1.52,1.498,1.5062
6/17/1993 0:00,GBPUSD,1.5055,1.5187,1.4985,1.514
6/18/1993 0:00,GBPUSD,1.5142,1.517,1.492,1.4975
6/21/1993 0:00,GBPUSD,1.494,1.498,1.4799,1.4885
6/22/1993 0:00,GBPUSD,1.4883,1.4905,1.474,1.4778
6/23/1993 0:00,GBPUSD,1.478,1.481,1.467,1.4735
6/24/1993 0:00,GBPUSD,1.472,1.4761,1.4637,1.469
6/25/1993 0:00,GBPUSD,1.4683,1.4835,1.467,1.4762
6/28/1993 0:00,GBPUSD,1.4785,1.4975,1.475,1.4959
6/29/1993 0:00,GBPUSD,1.4954,1.5155,1.4894,1.5123
6/30/1993 0:00,GBPUSD,1.512,1.5135,1.4885,1.4908
7/1/1993 0:00,GBPUSD,1.4898,1.5175,1.4867,1.515
7/2/1993 0:00,GBPUSD,1.515,1.5255,1.5055,1.507
7/5/1993 0:00,GBPUSD,1.508,1.5145,1.5045,1.5105
7/6/1993 0:00,GBPUSD,1.5095,1.513,1.5015,1.504
7/7/1993 0:00,GBPUSD,1.503,1.5077,1.49,1.4955
7/8/1993 0:00,GBPUSD,1.4942,1.4995,1.489,1.497
7/9/1993 0:00,GBPUSD,1.495,1.499,1.4765,1.48
7/12/1993 0:00,GBPUSD,1.484,1.4875,1.472,1.479
7/13/1993 0:00,GBPUSD,1.478,1.4995,1.4735,1.497
7/14/1993 0:00,GBPUSD,1.4978,1.5052,1.4885,1.5025
7/15/1993 0:00,GBPUSD,1.5025,1.5035,1.4845,1.489
7/16/1993 0:00,GBPUSD,1.4905,1.4915,1.474,1.486
7/19/1993 0:00,GBPUSD,1.4845,1.5018,1.483,1.4995
7/20/1993 0:00,GBPUSD,1.4975,1.514,1.4955,1.5122
7/21/1993 0:00,GBPUSD,1.5105,1.522,1.5075,1.516
7/22/1993 0:00,GBPUSD,1.5151,1.5173,1.502,1.514
7/23/1993 0:00,GBPUSD,1.51,1.513,1.4915,1.5035
