Pair,Date,Open,High,Low,Close
GBPUSD,1/3/2011 0:00,1.55431,1.55715,1.5543,1.55707
GBPUSD,1/3/2011 1:00,1.55706,1.55744,1.55359,1.55471
GBPUSD,1/3/2011 2:00,1.5547,1.55605,1.55357,1.55377
GBPUSD,1/3/2011 3:00,1.55376,1.55444,1.55319,1.55368
GBPUSD,1/3/2011 4:00,1.55367,1.5544,1.5531,1.55395
GBPUSD,1/3/2011 5:00,1.55397,1.55434,1.55386,1.55423
GBPUSD,1/3/2011 6:00,1.55417,1.5557,1.554,1.55451
GBPUSD,1/3/2011 7:00,1.55456,1.5556,1.55425,1.5556
GBPUSD,1/3/2011 8:00,1.55559,1.55614,1.54999,1.55189
GBPUSD,1/3/2011 9:00,1.55188,1.55251,1.54726,1.54977
GBPUSD,1/3/2011 10:00,1.54976,1.55021,1.5447,1.54551
GBPUSD,1/3/2011 11:00,1.54553,1.54806,1.54512,1.54645
GBPUSD,1/3/2011 12:00,1.54646,1.54757,1.54533,1.54637
GBPUSD,1/3/2011 13:00,1.54638,1.55129,1.546,1.5512
GBPUSD,1/3/2011 14:00,1.55122,1.55164,1.54873,1.54973
GBPUSD,1/3/2011 15:00,1.54969,1.55143,1.54705,1.54715
GBPUSD,1/3/2011 16:00,1.54716,1.54916,1.54329,1.54641
GBPUSD,1/3/2011 17:00,1.54635,1.55044,1.54635,1.54881
GBPUSD,1/3/2011 18:00,1.54881,1.54992,1.54833,1.54949
GBPUSD,1/3/2011 19:00,1.54951,1.55023,1.54827,1.54904
GBPUSD,1/3/2011 20:00,1.54905,1.54926,1.54813,1.54904
GBPUSD,1/3/2011 21:00,1.54903,1.54903,1.54715,1.54715
GBPUSD,1/3/2011 22:00,1.54716,1.54882,1.54716,1.54872
GBPUSD,1/3/2011 23:00,1.54869,1.54881,1.54753,1.54794
GBPUSD,1/4/2011 0:00,1.54793,1.54866,1.54732,1.5486
GBPUSD,1/4/2011 1:00,1.54861,1.55005,1.54728,1.54847
GBPUSD,1/4/2011 2:00,1.54849,1.54994,1.54836,1.54908
GBPUSD,1/4/2011 3:00,1.54908,1.55035,1.54858,1.54923
GBPUSD,1/4/2011 4:00,1.54927,1.55068,1.54903,1.54967
GBPUSD,1/4/2011 5:00,1.54964,1.54964,1.54805,1.5482
GBPUSD,1/4/2011 6:00,1.54819,1.54836,1.54693,1.54749
GBPUSD,1/4/2011 7:00,1.54748,1.54851,1.54535,1.54785
GBPUSD,1/4/2011 8:00,1.54782,1.54957,1.54583,1.54745
GBPUSD,1/4/2011 9:00,1.54746,1.55528,1.54711,1.55514
GBPUSD,1/4/2011 10:00,1.55513,1.56323,1.55466,1.56238
GBPUSD,1/4/2011 11:00,1.5623,1.56448,1.56106,1.56288
GBPUSD,1/4/2011 12:00,1.56287,1.56356,1.56028,1.56088
GBPUSD,1/4/2011 13:00,1.56083,1.56381,1.55939,1.56138
GBPUSD,1/4/2011 14:00,1.56142,1.5633,1.56093,1.56127
GBPUSD,1/4/2011 15:00,1.56128,1.56188,1.55903,1.55925
GBPUSD,1/4/2011 16:00,1.55925,1.55979,1.55718,1.55953
GBPUSD,1/4/2011 17:00,1.55947,1.55973,1.55758,1.55846
GBPUSD,1/4/2011 18:00,1.55844,1.56018,1.55808,1.55895
GBPUSD,1/4/2011 19:00,1.55888,1.55995,1.55831,1.55836
GBPUSD,1/4/2011 20:00,1.55837,1.55962,1.55796,1.5582
GBPUSD,1/4/2011 21:00,1.55819,1.5592,1.55751,1.55829
GBPUSD,1/4/2011 22:00,1.55827,1.55895,1.55824,1.55855
GBPUSD,1/4/2011 23:00,1.55854,1.55977,1.55821,1.5596
GBPUSD,1/5/2011 0:00,1.55958,1.56012,1.55908,1.5596
GBPUSD,1/5/2011 1:00,1.5596,1.55991,1.55661,1.55762
GBPUSD,1/5/2011 2:00,1.55761,1.55775,1.55522,1.5559
GBPUSD,1/5/2011 3:00,1.55595,1.55668,1.55521,1.5556
GBPUSD,1/5/2011 4:00,1.55559,1.55748,1.5555,1.55748
GBPUSD,1/5/2011 5:00,1.5575,1.55755,1.55592,1.55672
GBPUSD,1/5/2011 6:00,1.55672,1.55719,1.55507,1.55591
GBPUSD,1/5/2011 7:00,1.55592,1.55625,1.55449,1.55495
GBPUSD,1/5/2011 8:00,1.55494,1.56198,1.55361,1.56123
GBPUSD,1/5/2011 9:00,1.56122,1.56266,1.55834,1.5595
GBPUSD,1/5/2011 10:00,1.55947,1.55988,1.55543,1.5585
GBPUSD,1/5/2011 11:00,1.55851,1.56088,1.5572,1.55782
GBPUSD,1/5/2011 12:00,1.55783,1.55962,1.55659,1.55927
GBPUSD,1/5/2011 13:00,1.55928,1.55931,1.55548,1.55715
GBPUSD,1/5/2011 14:00,1.55715,1.55787,1.55113,1.55263
GBPUSD,1/5/2011 15:00,1.55257,1.55316,1.54768,1.54901
GBPUSD,1/5/2011 16:00,1.54897,1.55103,1.54502,1.54619
GBPUSD,1/5/2011 17:00,1.54618,1.54969,1.54618,1.54946
GBPUSD,1/5/2011 18:00,1.54947,1.55107,1.54886,1.5499
GBPUSD,1/5/2011 19:00,1.5499,1.54997,1.5479,1.54926
GBPUSD,1/5/2011 20:00,1.54926,1.55008,1.54732,1.54937
GBPUSD,1/5/2011 21:00,1.54938,1.55111,1.54914,1.55111
GBPUSD,1/5/2011 22:00,1.5511,1.55181,1.55067,1.55136
GBPUSD,1/5/2011 23:00,1.55135,1.55135,1.55011,1.5503
GBPUSD,1/6/2011 0:00,1.55035,1.55107,1.54941,1.55105
GBPUSD,1/6/2011 1:00,1.55101,1.55276,1.54983,1.55021
GBPUSD,1/6/2011 2:00,1.5502,1.55217,1.5502,1.55132
GBPUSD,1/6/2011 3:00,1.55131,1.55134,1.54893,1.54956
GBPUSD,1/6/2011 4:00,1.54952,1.55147,1.54932,1.55095
GBPUSD,1/6/2011 5:00,1.55094,1.55127,1.55004,1.55046
GBPUSD,1/6/2011 6:00,1.55044,1.55209,1.55021,1.55181
GBPUSD,1/6/2011 7:00,1.55181,1.5525,1.55047,1.55112
GBPUSD,1/6/2011 8:00,1.55111,1.55413,1.55012,1.55139
GBPUSD,1/6/2011 9:00,1.55143,1.55575,1.55135,1.55519
GBPUSD,1/6/2011 10:00,1.55526,1.55609,1.54713,1.54733
