Date,Pair,Open,High,Low,Close
1/4/1999 4:00,GBPUSD,1.6686,1.6691,1.6637,1.6643
1/4/1999 8:00,GBPUSD,1.6639,1.672,1.6565,1.6582
1/4/1999 12:00,GBPUSD,1.6577,1.6595,1.6539,1.6588
1/4/1999 16:00,GBPUSD,1.6582,1.6617,1.6572,1.658
1/4/1999 20:00,GBPUSD,1.6577,1.661,1.6565,1.6595
1/5/1999 0:00,GBPUSD,1.6597,1.6599,1.6553,1.6576
1/5/1999 4:00,GBPUSD,1.6576,1.6579,1.6543,1.6546
1/5/1999 8:00,GBPUSD,1.6545,1.6573,1.6529,1.6567
1/5/1999 12:00,GBPUSD,1.6567,1.6572,1.6541,1.6557
1/5/1999 16:00,GBPUSD,1.6561,1.658,1.6538,1.6555
1/5/1999 20:00,GBPUSD,1.6558,1.6568,1.6531,1.6547
1/6/1999 0:00,GBPUSD,1.6539,1.6555,1.6534,1.6535
1/6/1999 4:00,GBPUSD,1.6543,1.6548,1.6532,1.6542
1/6/1999 8:00,GBPUSD,1.6541,1.6589,1.6501,1.6571
1/6/1999 12:00,GBPUSD,1.6569,1.6657,1.6565,1.657
1/6/1999 16:00,GBPUSD,1.6567,1.6574,1.648,1.6535
1/6/1999 20:00,GBPUSD,1.6531,1.6567,1.6525,1.6537
1/7/1999 0:00,GBPUSD,1.6535,1.6537,1.65,1.6517
1/7/1999 4:00,GBPUSD,1.6514,1.6525,1.6512,1.6516
1/7/1999 8:00,GBPUSD,1.6559,1.6584,1.6506,1.6539
1/7/1999 12:00,GBPUSD,1.6536,1.6546,1.6471,1.6489
1/7/1999 16:00,GBPUSD,1.6489,1.6543,1.6464,1.6521
1/7/1999 20:00,GBPUSD,1.652,1.6525,1.6489,1.6502
1/8/1999 0:00,GBPUSD,1.6497,1.6525,1.6491,1.6517
1/8/1999 4:00,GBPUSD,1.6516,1.6522,1.6468,1.647
1/8/1999 8:00,GBPUSD,1.6474,1.6482,1.6394,1.6439
1/8/1999 12:00,GBPUSD,1.6436,1.6444,1.6357,1.6404
1/8/1999 16:00,GBPUSD,1.6403,1.6439,1.6383,1.6437
1/8/1999 20:00,GBPUSD,1.6454,1.6454,1.6405,1.6405
1/11/1999 0:00,GBPUSD,1.6398,1.6415,1.6392,1.6405
1/11/1999 4:00,GBPUSD,1.6407,1.6415,1.6386,1.639
1/11/1999 8:00,GBPUSD,1.639,1.6443,1.6387,1.6435
1/11/1999 12:00,GBPUSD,1.6432,1.6453,1.6397,1.6401
1/11/1999 16:00,GBPUSD,1.6397,1.6413,1.6312,1.6322
1/11/1999 20:00,GBPUSD,1.6315,1.6321,1.6292,1.6312
